Source,Target,Type,Id,Label,Weight
14,64,Undirected,10400,,1
81,3,Undirected,10401,,1
72,26,Undirected,10402,,1
14,71,Undirected,10403,,1
14,72,Undirected,10404,,1
14,26,Undirected,10405,,1
14,24,Undirected,10406,,1
23,28,Undirected,10407,,1
23,26,Undirected,10408,,1
39,33,Undirected,10410,,1
3,82,Undirected,10411,,1
24,28,Undirected,10412,,1
36,12,Undirected,10413,,1
64,36,Undirected,10414,,1
64,26,Undirected,10415,,1
12,64,Undirected,10416,,1
28,4,Undirected,10417,,1
20,41,Undirected,10418,,1
20,3,Undirected,10419,,1
43,6,Undirected,10420,,1
43,3,Undirected,10421,,1
43,28,Undirected,10422,,1
43,14,Undirected,10423,,1
78,73,Undirected,10424,,1
81,6,Undirected,10425,,1
